name,type,description,address,lat,lng,opening_hours,source_url,indoor_outdoor,indoor_outdoor_source
Singapore Botanic Gardens,attraction,"Singapore’s oldest garden is a treasure trove for plant lovers, or those who simply want to have a good time outdoors.",1 Cluny Road,1.3139999997177143,103.81591400037976,"Singapore Botanic Gardens Daily, 5am - 12am National Orchid Garden Daily, 8.30am - 7pm(last ticket sales at 6pm)Jacob Ballas Children's Garden Tuesday to Sunday, 8am - 7pm(last admission: 6.30pm)Closed every Monday (except when it falls on a designated public holiday)SBG Heritage MuseumDaily*, 9am - 6pm*Closed every last Monday of the month (except when it falls on a designated public holiday, it will be closed the following day)",http://www.sbg.org.sg,outdoor,rule
Singapore Zoo: Attractions & Things to Do,attraction,"Singapore’s zoo is a beautiful, award-winning wildlife park, where animals can roam freely in their natural habitats.",80 Mandai Lake Road,1.4040000000626178,103.7930229999054,"Daily, 8.30am – 6pm(last ticket sale at 5.30pm)",http://www.zoo.com.sg,outdoor,rule
River Safari Singapore,attraction,"At the River Safari Singapore, meet manatees and monkeys, piranhas and pandas, as they congregate in and around the park’s waters.",80 Mandai Lake Road,1.4039999999307051,103.78942299961992,"Daily, 10am - 7pm",http://www.riversafari.com.sg,outdoor,rule
Cable Car Singapore & Mount Faber,attraction,Getting to this hilltop dining and entertainment spot at Mount Faber by cable car  is half the fun.,109 Mount Faber Road,1.2709999998354296,103.81920600027752,,http://www.mountfaber.com.sg/,outdoor,llm
"Night Safari, Singapore",attraction,"Instead of going to a club, pop into another popular nightspot, the Night Safari, and mingle with a different crowd of animals at this special zoo.",80 Mandai Lake Road,1.4019999995871435,103.78806100013595,"Daily, 7.30pm - 12am .Last ticket sale at 11.15pm.F and B and retail outlets open from 5.30pm",http://www.nightsafari.com.sg,outdoor,rule
Pulau Ubin & Singapore Islands,attraction,"Gravel roads, lush forests and abundant wildlife – Pulau Ubin is a living showcase of what Singapore was like in the 1960s.",Pulau Ubin,1.413999999772592,103.9592610004016,,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=29&Itemid=73,outdoor,rule
Little India Singapore: History & Culture,attraction,Little India is a buzzing historic area that shows off the best of Singapore’s Indian community from vibrant culture to incredible shopping.,60 Bukit Timah Road,1.3070000000134547,103.8498200002484,,http://www.littleindia.com.sg/,indoor,llm
"Orchard Road, Singapore: Asia's Most Famous Shopping Street",attraction,"Orchard Road, Asia’s most famous shopping street, is home to fashion favourites, specialist stores and loads of other lifestyle choices.",437 Orchard Road,1.3039999996704363,103.83248999988604,,http://www.orchardroad.org/,outdoor,rule
MacRitchie Singapore & Singapore Nature Reserve,attraction,The attractions around MacRitchie Reservoir is a playground of nature for those who love the outdoors.,MacRitchie Reservoir Park,1.3449999999405355,103.8223460002478,,http://www.nparks.gov.sg/cms/macritchie.php?option=com_visitorsguide&task=naturereserves&id=49&Itemid=75,outdoor,rule
"Civic District, Singapore",attraction,"The Civic District is where Singapore’s historical, architectural and cultural heritage started.",150 North Bridge Road,1.292999999711766,103.85222000003073,,www.yoursingapore.com/en/see-do-singapore/places-to-see/civic-district.html,outdoor,rule
"HarbourFront, Singapore",attraction,"HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a regional ferry or simply want to eat, shop or relax.",81 Telok Blangah Road,1.2650000000524553,103.8205700001771,,http://www.shba.org.sg/,outdoor,llm
"Bras Basah.Bugis, Singapore Cultural District",attraction,"The Bras Basah.Bugis Precinct is the arts and heritage district in Singapore's civic centre, and home to museums and monuments.",220 Victoria Street,1.3009999996153456,103.85624000008436,,http://www.brasbasahbugis.sg/,outdoor,rule
